# HELP windows_cpu_clock_interrupts_total Total number of received and serviced clock tick interrupts
# TYPE windows_cpu_clock_interrupts_total counter
windows_cpu_processor_performance_total{core="0,0"} 0
windows_cpu_processor_performance_total{core="0,1"} 0
windows_cpu_processor_performance_total{core="0,2"} 0
windows_cpu_processor_performance_total{core="0,3"} 0
windows_cpu_processor_performance_total{core="0,4"} 0
windows_cpu_processor_performance_total{core="0,5"} 0
windows_cpu_processor_performance_total{core="0,6"} 0
windows_cpu_processor_performance_total{core="0,7"} 0
# HELP windows_cpu_processor_privileged_utility_total Processor Privileged Utility represents is the amount of time the core has spent executing instructions inside the kernel
# TYPE windows_cpu_processor_privileged_utility_total counter
windows_cpu_processor_privileged_utility_total{core="0,0"} 5.81119883712e+11
windows_cpu_processor_privileged_utility_total{core="0,1"} 3.55373417187e+11
windows_cpu_processor_privileged_utility_total{core="0,2"} 5.08164436431e+11
windows_cpu_processor_privileged_utility_total{core="0,3"} 3.46373010068e+11
windows_cpu_processor_privileged_utility_total{core="0,4"} 5.12825014675e+11
windows_cpu_processor_privileged_utility_total{core="0,5"} 5.4365564975e+11
windows_cpu_processor_privileged_utility_total{core="0,6"} 3.77264127418e+11
windows_cpu_processor_privileged_utility_total{core="0,7"} 2.92919708237e+11
# HELP windows_cpu_processor_rtc_total Processor RTC represents the number of RTC ticks made since the system booted. It should consistently be 64e6, and can be used to properly derive Processor Utility Rate
# TYPE windows_cpu_processor_rtc_total counter
windows_cpu_processor_rtc_total{core="0,0"} 9.3482324800873e+13
windows_cpu_processor_rtc_total{core="0,1"} 9.3482324671958e+13
windows_cpu_processor_rtc_total{core="0,2"} 9.3482324635628e+13
windows_cpu_processor_rtc_total{core="0,3"} 9.3482324591084e+13
windows_cpu_processor_rtc_total{core="0,4"} 9.3482324497543e+13
windows_cpu_processor_rtc_total{core="0,5"} 9.3482324435498e+13
windows_cpu_processor_rtc_total{core="0,6"} 9.3482324446486e+13
windows_cpu_processor_rtc_total{core="0,7"} 9.3482324562155e+13
# HELP windows_cpu_processor_utility_total Processor Utility represents is the amount of time the core spends executing instructions
# TYPE windows_cpu_processor_utility_total counter
windows_cpu_processor_utility_total{core="0,0"} 0
windows_cpu_processor_utility_total{core="0,1"} 0
windows_cpu_processor_utility_total{core="0,2"} 0
windows_cpu_processor_utility_total{core="0,3"} 0
windows_cpu_processor_utility_total{core="0,4"} 0
windows_cpu_processor_utility_total{core="0,5"} 0
